,INCIDENTNEIGHBORHOOD,OFFENSES
2450,Homewood North,2701 Simple Assault.
196,Homewood North,627.02(b)(i) Possessing a small amount of marijuana / 4524 Windshield Obstructions and Wipers.
2442,Homewood North,2705 Recklessly Endangering Another Person. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License.
2441,Homewood North,9994 PFA Service
2539,Homewood North,9498 302 (Mental)
286,Homewood North,8106 Shots Fired
2181,Homewood North,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
1244,Homewood North,3934 Theft from Vehicle / 3304 Criminal Mischief.
741,Homewood North,5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
1382,Homewood North,3502 Burglary.
2743,Homewood North,3934 Theft from Vehicle
885,Homewood North,2702 Aggravated Assault.
2805,Homewood North,3745 Accidents Involving Damage to Unattended Veh.or Prop.
799,Homewood North,8106 Shots Fired
776,Homewood North,029 Missing Juvenile
1441,Homewood North,3921 Theft by Unlawful Taking or Disposition.
1551,Homewood North,3502 Burglary.
2808,Homewood North,2701 Simple Assault.
1192,Homewood North,2709 Harassment (Non-Specific) / 2701 Simple Assault.
1537,Homewood North,1543 Driving While Operating Privilege is Suspended or Revoked. / 9999 9999 - (Misc. Incident): 
2839,Homewood North,9999 9999 - (Misc. Incident): Found Property
2906,Homewood North,9994 PFA Service
2672,Homewood North,3921 Theft by Unlawful Taking or Disposition.
2836,Homewood North,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks
2677,Homewood North,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)"
770,Homewood North,2701 Simple Assault.
1566,Homewood North,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 607.03 Discharging Firearm or Airgun
959,Homewood North,3304 Criminal Mischief.
1490,Homewood North,9999 9999 - (Misc. Incident): 
57,Homewood North,8106 Shots Fired
763,Homewood North,2702 Aggravated Assault. / 2706 Terroristic Threats. / 2902 Unlawful Restraint. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
1479,Homewood North,3502 Burglary.
589,Homewood North,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 2709(b) Stalking
258,Homewood North,2709(a) Harassment.
637,Homewood North,3929 Retail Theft.
1473,Homewood North,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
543,Homewood North,9124 Drug Investigation
1289,Homewood North,3929 Retail Theft.
754,Homewood South,2706 Terroristic Threats. / 2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
198,Homewood South,13(a)(16) Possession of Controlled Substance
2018,Homewood South,9999 9999 - (Misc. Incident): attempted phone scam
1735,Homewood South,"9999 9999 - (Misc. Incident): Lost, Stolen, or Misplace"
2845,Homewood South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2592,Homewood South,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 3334 Turning Movements and Required Signals. / 763.05 (a) Parking Lots Parking Vehicles on the Street or Sidewalk
483,Homewood South,9999 9999 - (Misc. Incident): 
727,Homewood South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2020,Homewood South,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2086,Homewood South,9012 Non-Violent Domestic
132,Homewood South,9012 Non-Violent Domestic
2865,Homewood South,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 4304(a)(1) Endangering Welfare of Children. / 1301 Registration and Certificate of Title Required. / 4524 Windshield Obstructions and Wipers.
1023,Homewood South,2702 Aggravated Assault.
1989,Homewood South,9012 Non-Violent Domestic
171,Homewood South,8106 Shots Fired
502,Homewood South,9124 Drug Investigation
368,Homewood South,3743 Accidents Involving Damage to Attended Veh. or Property
2066,Homewood South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1676,Homewood South,9999 9999 - (Misc. Incident): 
509,Homewood South,2701(a)(3) Simple Assault - Attempts by Physical Menace 
588,Homewood South,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4303 General Lighting Requirements. / 9501 Bench Warrant / 1301 Registration and Certificate of Title Required.
2236,Homewood South,9124 Drug Investigation
1056,Homewood South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2360,Homewood South,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3745 Accidents Involving Damage to Unattended Veh.or Prop.
2856,Homewood South,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4524 Windshield Obstructions and Wipers. / 3323 Stop Signs and Yield Signs.
93,Homewood South,9994 PFA Service
1491,Homewood South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2846,Homewood South,5104 Resisting Arrest or Other Law Enforcement. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 1501 Drivers Required to be Licensed. / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 1301 Registration and Certificate of Title Required.
1077,Homewood South,3701 Robbery.
292,Homewood South,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 1332 Display of Registration Plate. / 4524 Windshield Obstructions and Wipers.
174,Homewood South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
431,Homewood South,029 Missing Juvenile
669,Homewood South,3921 Theft by Unlawful Taking or Disposition.
526,Homewood South,8106 Shots Fired
2643,Homewood South,"6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 3334 Turning Movements and Required Signals. / 1501 Drivers Required to be Licensed. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
2156,Homewood South,9993 PFA Service with Weapons Supplement
2164,Homewood South,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 3323 Stop Signs and Yield Signs. / 4524 Windshield Obstructions and Wipers. / 1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked.
674,Homewood South,8106 Shots Fired
107,Homewood South,13(a)(32) Paraphernalia - Use or Possession
540,Homewood South,2701 Simple Assault.
2933,Homewood South,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession
2371,Homewood South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1206,Homewood South,3304 Criminal Mischief.
1815,Homewood South,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession
1276,Homewood South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
900,Homewood South,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
462,Homewood South,3925 Receiving Stolen Property. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY)
2261,Homewood South,3502 Burglary. / 13(a)(32) Paraphernalia - Use or Possession
14,Homewood South,2702 Aggravated Assault. / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 2701 Simple Assault. / 2701 Simple Assault.
845,Homewood South,9496 Dead on Arrival (DOA)
2,Homewood South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
247,Homewood South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1398,Homewood South,9018 Accidental Fire
2094,Homewood South,9012 Non-Violent Domestic
1480,Homewood South,2701 Simple Assault.
2778,Homewood South,9495 Suicide
2625,Homewood South,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 4524 Windshield Obstructions and Wipers. / 1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked.
1413,Homewood South,9999 9999 - (Misc. Incident): 
390,Homewood South,4703 Operation of Vehicle without Official Certif. of Inspection / 9999 9999 - (Misc. Incident):  / 4706 Prohib. on Expend. for Emission Insp Prog.. / 1543 Driving While Operating Privilege is Suspended or Revoked.
1779,Homewood South,9993 PFA Service with Weapons Supplement
2645,Homewood South,9999 9999 - (Misc. Incident): 
1962,Homewood West,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
1359,Homewood West,2701 Simple Assault.
30,Homewood West,9999 9999 - (Misc. Incident): 
1389,Homewood West,3921 Theft by Unlawful Taking or Disposition.
1909,Homewood West,3304 Criminal Mischief.
626,Homewood West,13(a)(32) Paraphernalia - Use or Possession / 1301 Registration and Certificate of Title Required. / 3736 Reckless Driving
405,Homewood West,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1932,Homewood West,2701 Simple Assault.
2563,Homewood West,2701 Simple Assault.
632,Homewood West,3743 Accidents Involving Damage to Attended Veh. or Property
221,Homewood West,2701 Simple Assault.
2448,Homewood West,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2168,Homewood West,9999 9999 - (Misc. Incident): 
897,Homewood West,4524 Windshield Obstructions and Wipers. / 627.02(b)(i) Possessing a small amount of marijuana / 3714 Careless Driving
338,Homewood West,029 Missing Juvenile
936,Homewood West,"6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters"
1529,Homewood West,2701 Simple Assault.
2904,Homewood West,2701 Simple Assault.
2456,Homewood West,2701 Simple Assault.
1303,Homewood West,9999 9999 - (Misc. Incident): 
2873,Homewood West,2709(a)(3) Harassment No Legitimate Purpose
280,Knoxville,3921 Theft by Unlawful Taking or Disposition.
2787,Knoxville,9490 Missing Persons (18 and Over)
213,Knoxville,2709(a)(3) Harassment No Legitimate Purpose
384,Knoxville,3921 Theft by Unlawful Taking or Disposition.
1658,Knoxville,3502 Burglary. / 3304 Criminal Mischief.
1427,Knoxville,2702 Aggravated Assault. / 3502 Burglary.
2934,Knoxville,3921 Theft by Unlawful Taking or Disposition.
1426,Knoxville,9994 PFA Service
956,Knoxville,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2706 Terroristic Threats. / 670.02  (a) Disruptive activity prepetrataed/caused/permitted on property by owner(s)/tenant(s)/occupant(s)/invitee(s) of the property
2745,Knoxville,9999 (Misc. Crime): 
1385,Knoxville,3925 Receiving Stolen Property. / 4703 Operation of Vehicle without Official Certif. of Inspection / 1332 Display of Registration Plate. / 4706 Prohib. on Expend. for Emission Insp Prog.. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility. / 1301 Registration and Certificate of Title Required.
2829,Knoxville,2709(a) Harassment.
1629,Knoxville,9999 9999 - (Misc. Incident): 
622,Knoxville,"13(a)(30) Possession w/ Intent to Del. Controlled Substance / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
2111,Knoxville,9501 Bench Warrant
35,Knoxville,9496 Dead on Arrival (DOA)
396,Knoxville,9994 PFA Service
697,Knoxville,2706 Terroristic Threats.
2620,Knoxville,9999 9999 - (Misc. Incident): PFA service
1805,Knoxville,"3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats."
691,Knoxville,2701 Simple Assault.
1723,Knoxville,3802(a)(1) DUI - General Impairment
2695,Knoxville,1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.
2344,Knoxville,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5505 Public Drunkenness / 5503 Disorderly Conduct. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION"
2169,Knoxville,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 3503(b.1)(1)(iii) Criminal Trespass/Simple Trespasser - Defacing or Damaging the Premises"
778,Knoxville,9012 Non-Violent Domestic
2853,Knoxville,9999 9999 - (Misc. Incident): 
1698,Knoxville,4120 Identity Theft / 4106 Access Device Fraud
1812,Knoxville,3304 Criminal Mischief.
1286,Knoxville,13(a)(32) Paraphernalia - Use or Possession / 3743 Accidents Involving Damage to Attended Veh. or Property
2540,Knoxville,9016 Check on Elderly Person
581,Knoxville,4105(a)(1) Bad Checks
153,Knoxville,0291 Located Runaway - Outside City
2554,Knoxville,9497 Aided Case
2907,Larimer,9994 PFA Service
222,Larimer,3304 Criminal Mischief.
2290,Larimer,3743 Accidents Involving Damage to Attended Veh. or Property
197,Larimer,"2702 Aggravated Assault. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3743 Accidents Involving Damage to Attended Veh. or Property / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9501 Bench Warrant / 3732.1 Aggravated Assault by Vehicle / 3714 Careless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 6110.2 Possesion of Firearm with Altered Mfg. Number / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3736 Reckless Driving"
467,Larimer,3304 Criminal Mischief.
1823,Larimer,3304 Criminal Mischief.
1588,Larimer,8106 Shots Fired
1270,Larimer,"5126 Flight to Avoid Apprehension, Trial or Punishment. / 3736 Reckless Driving / 3361  Driving Vehicle at Safe Speed. / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 3733 Fleeing or Attempting to Elude Police Officer / 3714 Careless Driving"
1281,Larimer,4101 Forgery.
2747,Larimer,9994 PFA Service
414,Larimer,9124 Drug Investigation
1568,Larimer,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.
542,Larimer,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3354 Additional Parking Regulations.
1569,Larimer,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.
2095,Larimer,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2225,Larimer,9994 PFA Service
1864,Larimer,3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3736 Reckless Driving
2565,Larimer,2706 Terroristic Threats.
1269,Larimer,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4524 Windshield Obstructions and Wipers. / 3111 Obedience to Traffic-Control Devices.
2436,Larimer,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 903 Criminal Conspiracy.
1687,Larimer,3743 Accidents Involving Damage to Attended Veh. or Property
1043,Larimer,029 Missing Juvenile
2507,Larimer,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3354 Additional Parking Regulations.
605,Larimer,3921 Theft by Unlawful Taking or Disposition.
1132,Larimer,4915 Failure to Comply with Megans Law
714,Larimer,3743 Accidents Involving Damage to Attended Veh. or Property / 3736 Reckless Driving
1121,Larimer,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1302,Larimer,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2499,Larimer,9489 Found Property
475,Larimer,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
750,Larimer,4106 Access Device Fraud
2893,Larimer,13(a)(31) Marijuana: Possession Small Amount / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 4914 False Identification to Law Enforcement Authorities / 1511 Carrying and Exhibiting Driver's License on Demand. / 1543 Driving While Operating Privilege is Suspended or Revoked.
2720,Larimer,2701 Simple Assault. / 2709(a) Harassment. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
1526,Larimer,9496 Dead on Arrival (DOA)
2612,Larimer,"2702 Aggravated Assault. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3743 Accidents Involving Damage to Attended Veh. or Property / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9501 Bench Warrant / 3732.1 Aggravated Assault by Vehicle / 3714 Careless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 6110.2 Possesion of Firearm with Altered Mfg. Number / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3736 Reckless Driving"
511,Larimer,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1443,Larimer,9496 Dead on Arrival (DOA)
1927,Larimer,3304 Criminal Mischief.
2000,Larimer,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud / 3925 Receiving Stolen Property.
863,Lincoln Place,6305 Sale of Tobacco. / 4703 Operation of Vehicle without Official Certif. of Inspection
7,Lincoln Place,4120 Identity Theft
2938,Lincoln Place,4120 Identity Theft
16,Lincoln Place,9999 9999 - (Misc. Incident): 
2614,Lincoln Place,2709(a)(3) Harassment No Legitimate Purpose
2263,Lincoln Place,3921 Theft by Unlawful Taking or Disposition.
1313,Lincoln Place,4120 Identity Theft
235,Lincoln Place,2701 Simple Assault.
2646,Lincoln Place,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
739,Lincoln-Lemington-Belmar,2702 Aggravated Assault.
1859,Lincoln-Lemington-Belmar,2701 Simple Assault.
1278,Lincoln-Lemington-Belmar,901 Criminal Attempt
1182,Lincoln-Lemington-Belmar,2701 Simple Assault.
2538,Lincoln-Lemington-Belmar,13(a)(16) Possession of Controlled Substance / 5503 Disorderly Conduct.
767,Lincoln-Lemington-Belmar,3304 Criminal Mischief.
2054,Lincoln-Lemington-Belmar,9496 Dead on Arrival (DOA)
1291,Lincoln-Lemington-Belmar,4107(b)(2) Vehicle Equipment Standards
2178,Lincoln-Lemington-Belmar,9504 Lost Property
1298,Lincoln-Lemington-Belmar,9504 Lost Property
1007,Lincoln-Lemington-Belmar,3929 Retail Theft.
1057,Lincoln-Lemington-Belmar,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
347,Lincoln-Lemington-Belmar,3502 Burglary. / 13(a)(16) Possession of Controlled Substance
437,Lincoln-Lemington-Belmar,3921 Theft by Unlawful Taking or Disposition. / 903 Criminal Conspiracy.
2083,Lincoln-Lemington-Belmar,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2331,Lincoln-Lemington-Belmar,3929 Retail Theft.
796,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
2468,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
173,Lincoln-Lemington-Belmar,3929(a)(4) Retail Theft; under-rings merchandise
1943,Lincoln-Lemington-Belmar,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.
911,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): Welfare Check
11,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
2187,Lincoln-Lemington-Belmar,4106 Access Device Fraud
1210,Lincoln-Lemington-Belmar,3929(a)(4) Retail Theft; under-rings merchandise
869,Lincoln-Lemington-Belmar,9490 Missing Persons (18 and Over)
1109,Lincoln-Lemington-Belmar,2709 Harassment (Non-Specific)
680,Lincoln-Lemington-Belmar,3934 Theft from Vehicle
387,Lincoln-Lemington-Belmar,9994 PFA Service
413,Lincoln-Lemington-Belmar,3304 Criminal Mischief.
2833,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
2530,Lincoln-Lemington-Belmar,4106 Access Device Fraud / 4120 Identity Theft
2900,Lincoln-Lemington-Belmar,6111 Sale of Firearms.
1257,Lincoln-Lemington-Belmar,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.
1258,Lincoln-Lemington-Belmar,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.
783,Lincoln-Lemington-Belmar,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
1113,Lincoln-Lemington-Belmar,9012 Non-Violent Domestic
716,Lincoln-Lemington-Belmar,3929 Retail Theft.
938,Lincoln-Lemington-Belmar,2709 Harassment (Non-Specific)
2689,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
563,Lincoln-Lemington-Belmar,2709(a) Harassment.
1535,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
2400,Lincoln-Lemington-Belmar,029 Missing Juvenile
2759,Lincoln-Lemington-Belmar,9012 Non-Violent Domestic
2394,Lincoln-Lemington-Belmar,6111 Sale of Firearms.
1519,Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
1660,Lincoln-Lemington-Belmar,9492 Dog Bite
75,Lincoln-Lemington-Belmar,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.
90,Lincoln-Lemington-Belmar,3929 Retail Theft.
1430,Lincoln-Lemington-Belmar,3929 Retail Theft.
1750,Lincoln-Lemington-Belmar,3304 Criminal Mischief. / 9012 Non-Violent Domestic
2707,Lincoln-Lemington-Belmar,6111 Sale of Firearms.
1478,Lincoln-Lemington-Belmar,2709(a) Harassment.
639,Lincoln-Lemington-Belmar,6111 Sale of Firearms.
2622,Lincoln-Lemington-Belmar,9994 PFA Service
2667,Lincoln-Lemington-Belmar,3929 Retail Theft.
638,Lincoln-Lemington-Belmar,6111 Sale of Firearms.
1685,Lincoln-Lemington-Belmar,2709(a) Harassment. / 3736 Reckless Driving
2666,Lincoln-Lemington-Belmar,3929 Retail Theft.
1636,Lincoln-Lemington-Belmar,2709(a) Harassment.
1635,Lincoln-Lemington-Belmar,029 Missing Juvenile
2669,Lincoln-Lemington-Belmar,9994 PFA Service
165,Lower Lawrenceville,3921 Theft by Unlawful Taking or Disposition.
421,Lower Lawrenceville,2709(b) Stalking
1912,Lower Lawrenceville,9489 Found Property
611,Lower Lawrenceville,3929 Retail Theft.
2850,Lower Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3714 Careless Driving / 1543 Driving While Operating Privilege is Suspended or Revoked.
534,Lower Lawrenceville,3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants)
1505,Lower Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
694,Lower Lawrenceville,2701 Simple Assault.
590,Lower Lawrenceville,2701 Simple Assault.
1900,Lower Lawrenceville,9999 9999 - (Misc. Incident): Non reportable accident.
1207,Lower Lawrenceville,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): non reportable accident no damage
2221,Lower Lawrenceville,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1690,Lower Lawrenceville,3304 Criminal Mischief.
2403,Lower Lawrenceville,2709(a) Harassment.
1124,Lower Lawrenceville,2701 Simple Assault.
1477,Lower Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
9,Lower Lawrenceville,3921(a) Theft by Unlawful Taking or Disposition - Movable item
481,Lower Lawrenceville,9496 Dead on Arrival (DOA)
403,Lower Lawrenceville,3743 Accidents Involving Damage to Attended Veh. or Property
2633,Manchester,2706 Terroristic Threats.
326,Manchester,3922 Theft by Deception.
2737,Manchester,9489 Found Property
2567,Manchester,9999 9999 - (Misc. Incident): 
1650,Manchester,3921(a) Theft by Unlawful Taking or Disposition - Movable item
586,Manchester,2709(a)(4) Harassment Communicates Prohibited Acts
826,Manchester,3503 Criminal Trespass
1946,Manchester,8106 Shots Fired
1582,Manchester,9999 9999 - (Misc. Incident): 
1853,Manchester,9999 9999 - (Misc. Incident): 
2920,Manchester,4106 Access Device Fraud
2702,Manchester,9999 9999 - (Misc. Incident): Property Dispute
2701,Manchester,3743 Accidents Involving Damage to Attended Veh. or Property
2405,Manchester,9497 Aided Case
2484,Manchester,9998 Overdose Other
1613,Manchester,3743 Accidents Involving Damage to Attended Veh. or Property
931,Marshall-Shadeland,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
618,Marshall-Shadeland,9999 9999 - (Misc. Incident): 
711,Marshall-Shadeland,3701 Robbery. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2705 Recklessly Endangering Another Person. / 607.03 Discharging Firearm or Airgun
1143,Marshall-Shadeland,3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving / 3362 Maximum Speed Limits. / 3301 Driving on Right Side of Roadway. / 3714 Careless Driving / 1543 Driving While Operating Privilege is Suspended or Revoked.
948,Marshall-Shadeland,9994 PFA Service
2402,Marshall-Shadeland,9999 9999 - (Misc. Incident): 
935,Marshall-Shadeland,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 3714 Careless Driving / 3732.1 Aggravated Assault by Vehicle / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 3353 Prohibitions in Specified Places. / 3334 Turning Movements and Required Signals.
2440,Marshall-Shadeland,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
1762,Marshall-Shadeland,9498 302 (Mental)
2914,Marshall-Shadeland,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2601,Marshall-Shadeland,9496 Dead on Arrival (DOA)
719,Marshall-Shadeland,9999 9999 - (Misc. Incident): 
21,Marshall-Shadeland,9496 Dead on Arrival (DOA)
1016,Marshall-Shadeland,9998 Overdose Other
1696,Marshall-Shadeland,3929 Retail Theft.
1009,Marshall-Shadeland,3304 Criminal Mischief.
1048,Marshall-Shadeland,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 3714 Careless Driving / 3732.1 Aggravated Assault by Vehicle / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 3353 Prohibitions in Specified Places. / 3334 Turning Movements and Required Signals.
1703,Marshall-Shadeland,2709(a) Harassment.
25,Marshall-Shadeland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2412,Marshall-Shadeland,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace 
